0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.051	0.094	0.194	0.270	0.350	0.450	0.564	0.616	0.720	0.872	1.042	1.116	1.280	1.305	1.403	1.478	1.599	1.712	1.822	1.861	2.037	2.212	2.423	2.473	2.553	2.641	2.734	2.772	2.919	2.969	3.141	3.230	3.334	3.389	3.478	3.571	3.757	3.820	3.994	4.073	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.033	0.105	0.180	0.256	0.351	0.446	0.498	0.602	0.754	0.916	0.980	1.133	1.159	1.256	1.332	1.452	1.565	1.675	1.715	1.890	2.065	2.268	2.311	2.389	2.477	2.570	2.609	2.755	2.798	2.966	3.055	3.159	3.214	3.303	3.396	3.582	3.646	3.820	3.898	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.060	0.135	0.194	0.288	0.383	0.435	0.539	0.682	0.836	0.900	1.053	1.079	1.176	1.252	1.373	1.486	1.596	1.635	1.801	1.976	2.171	2.215	2.293	2.380	2.473	2.512	2.659	2.702	2.869	2.958	3.063	3.118	3.207	3.299	3.485	3.549	3.723	3.801	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.071	0.130	0.204	0.299	0.351	0.448	0.581	0.731	0.795	0.948	0.974	1.071	1.146	1.267	1.380	1.485	1.519	1.679	1.854	2.045	2.089	2.167	2.254	2.347	2.386	2.533	2.575	2.743	2.831	2.936	2.991	3.080	3.173	3.349	3.413	3.587	3.665	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.054	0.124	0.207	0.259	0.345	0.478	0.620	0.680	0.833	0.859	0.951	1.020	1.140	1.253	1.359	1.393	1.552	1.728	1.906	1.950	2.028	2.116	2.209	2.247	2.383	2.425	2.592	2.681	2.786	2.841	2.930	3.022	3.199	3.263	3.437	3.515	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.047	0.115	0.156	0.235	0.352	0.485	0.545	0.698	0.723	0.803	0.872	0.989	1.097	1.196	1.230	1.389	1.564	1.739	1.783	1.861	1.949	2.042	2.079	2.202	2.245	2.412	2.501	2.606	2.661	2.749	2.827	3.004	3.067	3.241	3.319	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.064	0.105	0.184	0.283	0.416	0.476	0.613	0.636	0.716	0.785	0.903	1.011	1.109	1.144	1.303	1.478	1.653	1.696	1.774	1.861	1.941	1.975	2.099	2.141	2.308	2.397	2.502	2.557	2.645	2.723	2.900	2.964	3.138	3.216	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.042	0.096	0.193	0.306	0.367	0.496	0.519	0.599	0.668	0.785	0.880	0.973	1.007	1.166	1.333	1.508	1.551	1.629	1.716	1.796	1.830	1.954	1.996	2.164	2.252	2.357	2.406	2.481	2.559	2.736	2.799	2.974	3.052	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	0.045	0.131	0.239	0.300	0.417	0.441	0.521	0.590	0.706	0.797	0.889	0.923	1.083	1.238	1.413	1.457	1.535	1.622	1.702	1.736	1.859	1.902	2.069	2.158	2.259	2.306	2.382	2.460	2.636	2.700	2.868	2.944	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.067	0.163	0.210	0.328	0.351	0.431	0.494	0.591	0.682	0.775	0.809	0.968	1.118	1.293	1.336	1.414	1.501	1.581	1.615	1.738	1.781	1.944	2.030	2.119	2.167	2.242	2.320	2.496	2.560	2.722	2.798	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.090	0.137	0.252	0.275	0.340	0.397	0.493	0.584	0.677	0.711	0.856	0.995	1.170	1.214	1.292	1.379	1.458	1.492	1.616	1.658	1.821	1.906	1.995	2.043	2.118	2.196	2.366	2.429	2.575	2.651	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.051	0.134	0.155	0.218	0.274	0.368	0.453	0.540	0.569	0.696	0.835	1.010	1.054	1.124	1.199	1.279	1.313	1.436	1.479	1.633	1.709	1.798	1.845	1.920	1.998	2.169	2.232	2.378	2.454	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.059	0.080	0.143	0.191	0.266	0.352	0.430	0.459	0.586	0.726	0.886	0.923	0.987	1.063	1.142	1.176	1.300	1.342	1.496	1.572	1.662	1.709	1.784	1.862	2.032	2.096	2.241	2.317	
