0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	0.027	0.065	0.099	0.129	0.169	0.220	0.244	0.292	0.326	0.387	0.419	0.472	0.544	0.609	0.670	0.743	0.775	0.839	0.897	0.944	1.002	1.047	1.125	1.183	1.232	1.291	1.352	1.411	1.479	1.556	1.641	1.704	1.771	1.824	1.918	2.007	2.065	2.122	2.209	2.265	2.310	2.401	2.507	2.609	2.691	2.764	2.840	2.896	2.978	3.063	3.156	3.265	3.336	3.439	3.464	3.545	3.594	3.668	3.761	3.827	3.903	3.968	3.987	4.031	4.112	4.187	4.195	4.260	4.353	4.427	4.517	4.599	4.663	4.729	4.768	4.857	4.917	4.989	5.107	5.195	5.268	5.295	5.346	5.374	5.402	5.504	5.593	5.688	5.785	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.023	0.054	0.076	0.113	0.158	0.181	0.224	0.257	0.316	0.348	0.401	0.465	0.523	0.584	0.657	0.689	0.753	0.808	0.856	0.914	0.958	1.037	1.091	1.140	1.196	1.250	1.308	1.376	1.452	1.537	1.601	1.668	1.721	1.814	1.903	1.961	2.019	2.105	2.161	2.204	2.294	2.401	2.497	2.578	2.649	2.725	2.781	2.863	2.947	3.036	3.143	3.214	3.318	3.342	3.424	3.473	3.547	3.640	3.705	3.782	3.846	3.866	3.910	3.991	4.065	4.074	4.138	4.232	4.305	4.396	4.477	4.542	4.608	4.646	4.735	4.796	4.867	4.986	5.073	5.144	5.171	5.222	5.250	5.278	5.380	5.470	5.565	5.660	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.028	0.050	0.079	0.122	0.146	0.188	0.221	0.279	0.310	0.361	0.420	0.478	0.539	0.612	0.644	0.707	0.761	0.809	0.867	0.911	0.982	1.036	1.085	1.141	1.195	1.253	1.321	1.397	1.483	1.546	1.613	1.666	1.759	1.848	1.907	1.964	2.046	2.100	2.142	2.232	2.339	2.433	2.514	2.585	2.661	2.717	2.798	2.882	2.972	3.079	3.150	3.253	3.278	3.359	3.409	3.482	3.575	3.641	3.717	3.782	3.801	3.845	3.926	4.001	4.009	4.074	4.168	4.241	4.331	4.413	4.477	4.543	4.582	4.671	4.732	4.803	4.920	5.005	5.073	5.099	5.150	5.178	5.206	5.308	5.398	5.492	5.586	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.019	0.045	0.081	0.105	0.145	0.176	0.229	0.258	0.307	0.366	0.424	0.484	0.557	0.589	0.647	0.697	0.744	0.802	0.847	0.916	0.970	1.019	1.075	1.129	1.187	1.255	1.331	1.416	1.479	1.543	1.596	1.689	1.777	1.836	1.890	1.968	2.022	2.064	2.154	2.261	2.355	2.436	2.507	2.583	2.639	2.721	2.804	2.894	3.001	3.072	3.176	3.200	3.281	3.331	3.404	3.498	3.563	3.640	3.702	3.721	3.765	3.846	3.921	3.929	3.994	4.085	4.159	4.249	4.330	4.395	4.459	4.496	4.585	4.645	4.717	4.831	4.915	4.983	5.009	5.061	5.089	5.117	5.219	5.308	5.403	5.497	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.016	0.048	0.067	0.106	0.132	0.180	0.208	0.255	0.314	0.372	0.428	0.497	0.528	0.585	0.635	0.683	0.740	0.784	0.852	0.906	0.955	1.007	1.060	1.118	1.186	1.262	1.342	1.405	1.469	1.522	1.614	1.703	1.762	1.813	1.892	1.946	1.988	2.078	2.184	2.274	2.355	2.426	2.502	2.558	2.640	2.723	2.813	2.920	2.990	3.089	3.114	3.195	3.244	3.318	3.411	3.477	3.553	3.615	3.635	3.679	3.759	3.834	3.843	3.907	3.999	4.072	4.163	4.244	4.306	4.370	4.407	4.496	4.557	4.628	4.741	4.826	4.894	4.920	4.971	4.999	5.027	5.129	5.217	5.309	5.403	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.027	0.047	0.078	0.103	0.149	0.176	0.219	0.278	0.335	0.388	0.454	0.485	0.542	0.592	0.640	0.697	0.740	0.807	0.859	0.908	0.959	1.012	1.070	1.138	1.212	1.291	1.353	1.418	1.471	1.563	1.652	1.707	1.758	1.837	1.890	1.933	2.023	2.128	2.218	2.299	2.370	2.446	2.502	2.584	2.667	2.757	2.864	2.931	3.030	3.055	3.136	3.185	3.259	3.352	3.417	3.494	3.556	3.575	3.619	3.700	3.774	3.783	3.847	3.936	4.010	4.100	4.181	4.243	4.307	4.344	4.433	4.494	4.565	4.677	4.761	4.829	4.856	4.907	4.935	4.963	5.065	5.153	5.245	5.339	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.025	0.053	0.075	0.119	0.146	0.189	0.245	0.301	0.352	0.418	0.449	0.506	0.556	0.604	0.660	0.698	0.765	0.817	0.866	0.917	0.970	1.028	1.096	1.170	1.249	1.311	1.376	1.429	1.519	1.605	1.659	1.710	1.789	1.842	1.885	1.975	2.080	2.170	2.251	2.322	2.398	2.454	2.536	2.619	2.709	2.816	2.883	2.982	3.007	3.088	3.137	3.211	3.304	3.369	3.440	3.502	3.522	3.566	3.647	3.720	3.729	3.793	3.882	3.956	4.046	4.128	4.189	4.253	4.290	4.379	4.440	4.511	4.623	4.708	4.776	4.802	4.853	4.881	4.909	5.011	5.099	5.191	5.285	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.022	0.043	0.079	0.106	0.148	0.203	0.253	0.302	0.367	0.399	0.456	0.506	0.551	0.600	0.638	0.706	0.758	0.807	0.857	0.910	0.969	1.037	1.110	1.190	1.252	1.314	1.363	1.450	1.536	1.590	1.641	1.720	1.774	1.816	1.906	2.011	2.101	2.182	2.253	2.329	2.385	2.467	2.550	2.640	2.747	2.814	2.913	2.937	3.018	3.068	3.139	3.232	3.295	3.362	3.424	3.443	3.488	3.568	3.642	3.651	3.715	3.804	3.877	3.968	4.049	4.111	4.174	4.211	4.300	4.361	4.433	4.545	4.629	4.697	4.723	4.775	4.803	4.831	4.932	5.021	5.113	5.207	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.021	0.056	0.079	0.119	0.169	0.219	0.268	0.331	0.363	0.416	0.466	0.510	0.560	0.598	0.666	0.718	0.766	0.817	0.870	0.928	0.995	1.064	1.143	1.205	1.267	1.316	1.403	1.490	1.544	1.594	1.673	1.727	1.769	1.859	1.964	2.054	2.136	2.206	2.282	2.338	2.420	2.504	2.592	2.699	2.761	2.860	2.884	2.965	3.015	3.085	3.179	3.242	3.309	3.371	3.390	3.434	3.515	3.589	3.597	3.662	3.751	3.824	3.915	3.996	4.057	4.121	4.158	4.247	4.308	4.379	4.492	4.576	4.644	4.670	4.721	4.749	4.777	4.879	4.967	5.060	5.154	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.045	0.077	0.122	0.169	0.218	0.276	0.303	0.355	0.405	0.446	0.496	0.534	0.601	0.654	0.702	0.753	0.804	0.862	0.921	0.989	1.069	1.129	1.190	1.239	1.325	1.412	1.466	1.517	1.595	1.649	1.691	1.781	1.885	1.975	2.056	2.127	2.203	2.259	2.341	2.419	2.504	2.611	2.673	2.772	2.796	2.875	2.925	2.994	3.088	3.150	3.218	3.279	3.299	3.343	3.424	3.497	3.506	3.570	3.659	3.733	3.823	3.905	3.965	4.029	4.066	4.155	4.216	4.287	4.399	4.483	4.551	4.577	4.629	4.657	4.684	4.786	4.875	4.967	5.061	
