0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.055	0.068	0.103	0.105	0.123	0.135	0.159	0.181	0.199	0.204	0.236	0.272	0.308	0.315	0.328	0.341	0.354	0.359	0.382	0.389	0.422	0.435	0.450	0.458	0.472	0.486	0.518	0.527	0.556	0.567	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.030	0.066	0.068	0.085	0.098	0.122	0.144	0.161	0.167	0.199	0.234	0.271	0.277	0.291	0.304	0.317	0.322	0.345	0.352	0.385	0.397	0.413	0.421	0.435	0.449	0.481	0.490	0.518	0.530	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.039	0.041	0.059	0.071	0.095	0.117	0.135	0.140	0.172	0.208	0.244	0.250	0.264	0.277	0.290	0.295	0.318	0.325	0.358	0.370	0.386	0.394	0.408	0.422	0.454	0.463	0.491	0.503	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.019	0.036	0.049	0.073	0.095	0.112	0.118	0.150	0.185	0.222	0.228	0.242	0.255	0.268	0.273	0.296	0.303	0.336	0.348	0.364	0.372	0.386	0.400	0.432	0.441	0.469	0.481	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.030	0.054	0.076	0.094	0.099	0.131	0.167	0.203	0.210	0.223	0.236	0.249	0.254	0.277	0.284	0.317	0.330	0.345	0.353	0.367	0.381	0.413	0.422	0.451	0.462	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.022	0.046	0.068	0.086	0.091	0.123	0.159	0.195	0.202	0.215	0.228	0.241	0.246	0.269	0.276	0.309	0.322	0.337	0.345	0.359	0.373	0.405	0.414	0.443	0.454	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	0.031	0.053	0.070	0.076	0.108	0.143	0.180	0.186	0.200	0.213	0.226	0.231	0.254	0.261	0.294	0.306	0.322	0.330	0.344	0.358	0.390	0.399	0.427	0.439	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.027	0.045	0.050	0.082	0.118	0.154	0.161	0.174	0.187	0.200	0.205	0.228	0.235	0.268	0.281	0.296	0.304	0.318	0.332	0.364	0.373	0.402	0.413	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.031	0.036	0.069	0.104	0.141	0.147	0.161	0.174	0.187	0.192	0.215	0.222	0.254	0.267	0.283	0.291	0.304	0.319	0.351	0.359	0.388	0.399	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.018	0.051	0.086	0.123	0.129	0.143	0.156	0.169	0.174	0.197	0.204	0.236	0.249	0.265	0.273	0.286	0.301	0.333	0.341	0.370	0.381	
